plantid,period,avg_mw
6251,2012_12,2724.6
6251,2013_01,1518.2
6251,2013_02,1350.9
6251,2013_03,1346.0
6251,2013_04,1686.6
6251,2013_05,2420.5
6251,2013_06,2652.7
6251,2013_07,2651.5
6251,2013_08,2593.9
6251,2013_09,2438.3
6251,2013_10,1959.3
6251,2013_11,2059.0
6251,2013_12,1701.0
6251,2014_01,2683.5
6251,2014_02,2684.1
6251,2014_03,1972.8
6251,2014_04,1318.9
6251,2014_05,1297.1
6251,2014_06,2526.6
6251,2014_07,2605.5
6251,2014_08,2603.8
6251,2014_09,2619.9
6251,2014_10,2641.0
6251,2014_11,2680.3
6251,2014_12,2678.8
6251,2015_01,2681.3
6251,2015_02,2675.7
6251,2015_03,2522.8
6251,2015_04,1312.2
6251,2015_05,2195.3
6251,2015_06,2602.2
6251,2015_07,2586.0
6251,2015_08,2582.8
6251,2015_09,2598.3
6251,2015_10,1982.5
6251,2015_11,1294.4
6251,2015_12,1553.1
6251,2016_01,2510.6
6251,2016_02,2663.2
6251,2016_03,2649.3
6251,2016_04,2638.2
6251,2016_05,2408.5
6251,2016_06,2596.5
6251,2016_07,2582.6
6251,2016_08,2582.4
6251,2016_09,2587.6
6251,2016_10,1612.0
6251,2016_11,2154.4
6251,2016_12,2667.3
6251,2017_01,2665.0
6251,2017_02,2650.9
6251,2017_03,2011.0
6251,2017_04,1306.9
6251,2017_05,2617.4
6251,2017_06,2601.1
6251,2017_07,2575.1
6251,2017_08,2583.4
6251,2017_09,2603.6
6251,2017_10,2623.4
6251,2017_11,2654.9
6251,2017_12,2666.8
6251,2018_01,2675.9
6251,2018_02,2666.5
6251,2018_03,2306.6
6251,2018_04,1425.9
6251,2018_05,2618.4
6251,2018_06,2586.8
6251,2018_07,2589.9
6251,2018_08,2589.7
6251,2018_09,2587.5
6251,2018_10,1484.0
6251,2018_11,2142.0
6251,2018_12,2672.9
6251,2019_01,2673.6
6251,2019_02,2670.3
6251,2019_03,2658.4
6251,2019_04,2649.4
6251,2019_05,2624.2
6251,2019_06,2590.4
6251,2019_07,2585.8
6251,2019_08,2575.7
6251,2019_09,2584.9
6251,2019_10,1446.8
6251,2019_11,2425.9
6251,2019_12,2664.5
6251,2020_01,2662.8
6251,2020_02,2665.1
6251,2020_03,1864.0
6251,2020_04,1760.6
6251,2020_05,2641.7
6251,2020_06,2621.5
6251,2020_07,2609.5
6251,2020_08,2587.4
6251,2020_09,2610.6
6251,2020_10,2638.5
6251,2020_11,2653.5
6251,2020_12,2682.3
6251,2021_01,2677.1
6251,2021_02,2500.4
6251,2021_03,2150.8
6251,2021_04,1763.8
6251,2021_05,2627.9
6251,2021_06,2403.2
6251,2021_07,2598.8
6251,2021_08,2590.5
6251,2021_09,2610.9
6251,2021_10,1628.1
6251,2021_11,2345.2
6251,2021_12,2670.5
6251,2022_01,2683.6
6251,2022_02,2685.5
6251,2022_03,2675.2
6251,2022_04,2650.5
6251,2022_05,2625.7
6251,2022_06,2597.8
6251,2022_07,2586.7
6251,2022_08,2590.2
6251,2022_09,2583.2
6251,2022_10,1565.0
6251,2022_11,2129.5
6251,2022_12,2670.6
6251,2023_01,2663.2
6251,2023_02,2669.9
6251,2023_03,2010.9
6251,2023_04,1641.3
6251,2023_05,2609.4
6251,2023_06,2586.6
